company_name,website,domain,city,state,phone,address,rating,review_count,google_verified,window_service,segment,also_does_auto_glass,primary_business,confidence,evidence,duplicate_domain,original_spreadsheet_tab
Lone Star Glass and Aluminum,https://lonestarglassandaluminum.com/,lonestarglassandaluminum.com,Dallas,TX,+1 972-748-9481,"6526 Maryibel Cir, Dallas, TX 75237, United States",4.6,14,Yes,"Window installation and glass replacement, commercial window replacement, aluminum storefront/storefront glass windows, 24/7 emergency glass replacement and board-up",Both,False,"Glass and aluminum contractor (windows, storefronts, doors, mirrors, shower enclosures)",high,"Site pages: lonestarglassandaluminum.com/window-installation-dallas/, /commercial-window-replacement/, /storefront-glass-windows-dallas/, /glass-replacement-dallas/; 'They replace and install windows, glass doors, mirrors, shower enclosures and aluminum storefronts'",,Window
Luna Glass and Mirror,https://lunaglassmirror.com/,lunaglassmirror.com,,,+1 214-284-1397,,5.0,4,Yes,Residential window replacement and window glass repair; also commercial glass repair and emergency board-up (plus shower glass/mirrors),Both,False,"Glass and mirror shop (windows, shower doors, mirrors)",medium,"Yelp 'Luna Glass & Mirror' Dallas (214-284-1397): 'specializes in energy-efficient systems for residential window replacement and shower door installation'; services list includes 'window glass repair', 'commercial glass repair', 'emergency board-up'. Google review: 'Helped repair a window'",,Window
LuxVue Pros,https://www.luxvuepros.com/,luxvuepros.com,,,+1 214-995-6140,,5.0,6,Yes,"Replacement window installation (plus entry, interior, French and sliding patio doors, siding, trim, remodeling)",Residential,False,"Windows, doors and home remodeling contractor",high,"luxvuepros.com homepage 'LuxVue: Premium Windows & Doors for Your Home' — 'premium windows, doors, and interior upgrades installed with precision', 'over 30 years of experience in the window installation industry'; Google review: 'had LuxVue Pros replace several windows and exterior doors in my home'",,Window
"M&M Roofing, Siding & Windows",https://www.mmroofsiding.com/,mmroofsiding.com,,,+1 214-381-0600,,4.4,7,Yes,"Replacement windows as part of exterior home improvement (roofing, siding, windows, doors, radiant barriers, gutters)",Both,False,"Exterior remodeler / roofing, siding and windows contractor",high,"Company name and profile: 'M&M Roofing, Siding & Windows ... specialize in home improvement including roofing, siding, windows, doors and radiant barriers' (ZoomInfo/Facebook/usroofingcompanies listings for mmroofsiding.com)",,Window
Maverick Windows,http://www.maverickwindows.com/,maverickwindows.com,Addison,TX,+1 214-302-8541,"4552 Beltway Dr, Addison, TX 75001, United States",4.8,819,Yes,"Energy-efficient replacement window installation (custom-made to existing openings), plus door replacement and siding",Residential,False,Replacement window company,high,"maverickwindows.com/window-replacement/ page; 'family-owned Window Replacement Services Company in Dallas-Fort Worth...specializes in energy efficient window replacement, window installation, door replacement, and siding installation'; never uses subcontractors for window replacement",,Window
McBain's Windows and Doors LLC,https://mcbainswindowsanddoors.com/,mcbainswindowsanddoors.com,,,+1 214-702-3818,,5.0,27,Yes,"Window replacement and window repair, glass repair including single damaged units, old double windows and whole-house projects; also doors and solar screens",Residential,False,"Windows, doors and screens contractor",high,"Yelp/Yahoo listing 'McBain's Windows, Doors & Screens' Plano TX (214-702-3818): 'recommended for window replacement service, window repair service, and glass repair'; Google review: 'just replaced two window panes for us'",,Window
Metroplex Gutter and Windows,https://metroplexgutters.com/,metroplexgutters.com,Dallas,TX,+1 214-306-4665,"1315 S Akard St, Dallas, TX 75215, United States",5.0,7,Yes,"Replacement vinyl and aluminum windows (NT Window products), plus specialty bay, garden and glass block windows and patio doors — alongside seamless gutters",Residential,False,Seamless gutters and replacement windows installer,high,"metroplexgutters.com/replacement-windows/ page titled 'DFW Replacement Windows'; site tagline 'Metroplex Gutter and Windows :: Rain Gutters & Replacement Windows'; 'installing painted copper gutters, seamless gutters and replacement vinyl windows in Dallas, Fort Worth'",,Window
Metroplex windows & Glass,https://mydallaswindows.com/,mydallaswindows.com,Carrollton,TX,+1 972-323-5200,"1425 Century Dr, Carrollton, TX 75006, United States",4.8,806,Yes,"Premium window replacement and installation, window repair, custom glass; commercial windows and doors installer",Both,False,"Window, glass and door replacement company",high,"mydallaswindows.com/windows/ 'Custom Windows Services in Carrollton, TX'; 'Since 1998, Metroplex Windows & Glass has provided premium window replacement, custom glass, and door installations to homeowners and businesses across North Texas'",,Window
New Day Exteriors,https://newdayexteriors.com/,newdayexteriors.com,Rockwall,TX,+1 469-267-3688,"2191 Portofino, Rockwall, TX 75032, United States",5.0,33,Yes,"Window replacement and installation (NT windows) and entry door replacement, free consultations and financing",Residential,False,Window and door replacement / exteriors company,high,"BBB profile category 'Replacement Windows' for New Day Exteriors, Rockwall TX; 'local, family-run company specializing in high-quality window and door replacements'; 'professional window installation and replacement in Rockwall, TX'",,Window
North Star Glass LLC,https://www.northstarglasstexas.com/,northstarglasstexas.com,,,+1 972-639-7196,,5.0,12,Yes,"Window glass replacement — single and double pane; patio door and French door glass/hardware; screens (plus shower doors, mirrors, table tops)",Residential,False,"Residential glass company (windows, shower doors, mirrors)",high,"northstarglasstexas.com homepage title 'North Star Glass - Shower Doors, Shower Glass, Single Pane, Double [Pane]'; services listed include 'window glass (double pane and single)', 'patio doors', 'French doors'. Google review: 'AMAZING EXPERIENCE with North Star Glass for our windows and sliding doors replacement'",,Window
Nova View Installations LLC,https://www.windowinstallationdallastx.com/,windowinstallationdallastx.com,,,+1 214-506-8288,,,,Yes,Window installation and replacement — energy-efficient replacement windows across the DFW area,Residential,False,Window installation contractor,medium,"windowinstallationdallastx.com/windows-installation/ page titled 'Windows Installation'; site text: 'Window Installation Dallas TX delivers guaranteed results on replacement projects... installing durable, high-performance, energy-efficient products... for homes across the DFW area, including Richardson, Sunnyvale, and Seagoville'. Search did not explicitly tie the legal name 'Nova View Installations LLC' to the domain, hence medium confidence",,Window
NT Window Inc.,http://www.ntwindow.com/,ntwindow.com,Fort Worth,TX,+1 800-969-8830,"2900 W Seminary Dr, Fort Worth, TX 76133, United States",4.5,143,Yes,Manufactures custom vinyl and aluminum windows for replacement and new construction; installation crews replace whole-home window sets,Residential,False,Window and door manufacturer (Fort Worth) with dealer/installer network,medium,ntwindow.com - 'manufacturer of custom premium vinyl and aluminum windows and doors... assisting clients with replacement and new construction projects through their dealer network'; 'proficient crew is capable of replacing every window in a home in about six hours'. Medium confidence because much of the sales flow is via dealers rather than direct install,,Window
Ocean Glass DFW,https://www.oceanglassdfw.com/,oceanglassdfw.com,,,+1 972-854-3425,,5.0,47,Yes,"New vinyl window installation, window repair, storefront glass",Both,False,Residential and commercial glass company,high,"oceanglassdfw.com/services - 'new vinyl windows, window repair, storefronts, door closers, frameless showers, mirror walls, tabletops, patio glass walls, solar screens'; 'services ranging from residential, commercial, and 24/7'",,Window
OmniView Window and Door,https://omniview.us/,omniview.us,Fort Worth,TX,+1 817-334-0707,"3001 W Loop 820 S, Fort Worth, TX 76116, United States",4.8,238,Yes,"Custom window sales, installation and replacement (Marvin, Brombal, TruStile)",Residential,False,Custom window and door dealer/installer,high,"omniview.us - 'specializes in custom windows and doors, both domestic and imported, to serve the premier residential market in Texas'; BBB category 'Window Installation'; services include 'window installation, window replacement, window sales'",YES,Window
Omniview Window and Door Dallas,http://omniview.us/,omniview.us,Farmers Branch,TX,+1 972-701-0844,"13615 Inwood Rd #120, Farmers Branch, TX 75244, United States",4.8,6,No,"Custom window sales, installation and replacement - Dallas showroom of the same company as ID 78",Residential,False,Custom window and door dealer/installer,high,"omniview.us lists two locations incl. '13615 Inwood Road Suite 120, Dallas, TX 75244 (By Appointment Only)' - same company/site as ID 78; 'leading provider of window and door installations in the Dallas-Fort Worth area'",YES,Window
Optimal Windows,https://www.optimalwindows.com/?utm_source=google_business_profile&utm_medium=organic,optimalwindows.com,Plano,TX,+1 972-768-1999,"5760 Legacy Dr b3366, Plano, TX 75024, United States",5.0,51,Yes,"Window and patio door replacement/installation - vinyl, fiberglass, aluminum-clad wood (Burris, Pella, Lincoln, WinDor)",Residential,False,Replacement window company,high,optimalwindows.com/window-and-patio-door-replacement/ and /window-replacement-installation-plano-tx/; 'FGIA certified master installer company... window and patio door replacement and installation services',,Window
"Pasadena Building Solutions, LLC",https://www.pasabuilds.com/,pasabuilds.com,,,+1 469-620-0921,,5.0,5,Yes,Complete window replacement on homes; also HVAC and other building repairs,Residential,False,"General building / home services contractor (windows, HVAC, repairs)",medium,"Google review: ""They did three houses of complete window replacement they are awesome very professional"" (site itself not indexed in search results; verdict rests on review text)",,Window
Pasadena Views Co.,https://www.pasadenaviews.co/,pasadenaviews.co,,,+1 469-630-2049,,5.0,4,Yes,Window installation in homes,Residential,False,Window installation contractor,medium,"Google review: ""kept everything clean throughout the entire window installation process. They arrived on time, worked efficiently"" (domain not indexed in search results; verdict rests on review text)",,Window
Pella Windows and Doors of Dallas,https://pellaofnorthtexas.com/Dallas,pellaofnorthtexas.com,Dallas,TX,+1 214-295-7989,"135 Payne St, Dallas, TX 75207, United States",4.7,134,Yes,Replacement and new-construction window sales and installation,Both,False,Window and door manufacturer branch / installing dealer,high,"pella.com/locations/tx/dallas/ ""Dallas Window & Door Replacement""; pellaofdfw.com/new-construction/ ""Window and Door Installation in Dallas-Fort Worth""",,Window
Pella Windows and Doors of Fort Worth Operations Center,https://www.pella.com/locations/tx/grapevine-operations-center/?utm_source=google&utm_medium=organic&utm_campaign=gbp,pella.com,Grapevine,TX,+1 972-988-1555,"506 E Dallas Rd Ste 100, Grapevine, TX 76051, United States",4.0,111,Yes,"Window replacement measurement, permitting and installation for the DFW branch",Both,False,Window and door manufacturer branch / installing dealer,high,"pella.com/locations/tx/grapevine-operations-center/ ""Windows & Doors of Fort Worth Operations Center""; ""installation is typically scheduled within 6-12 weeks of ordering""",YES,Window
"Pella Windows and Doors Showroom of Fort Worth, TX",https://www.pella.com/locations/tx/fort-worth/?utm_source=google&utm_medium=organic&utm_campaign=gbp,pella.com,Fort Worth,TX,+1 817-420-7250,"3901 West Fwy Ste 101, Fort Worth, TX 76107, United States",4.7,416,,Replacement window and door sales and installation,Both,False,Window and door showroom / installing dealer,high,"pella.com/locations/tx/fort-worth/ ""Fort Worth Window & Door Replacement"", showroom at 3901 West Freeway Ste 101",YES,Window
"Pella Windows and Doors Showroom of Frisco, TX",https://www.pella.com/locations/tx/frisco/?utm_source=google&utm_medium=organic&utm_campaign=gbp,pella.com,Frisco,TX,+1 469-277-8691,"10050 Legacy Dr Ste 300, Frisco, TX 75034, United States",4.8,942,,Replacement window and door sales and installation,Both,False,Window and door showroom / installing dealer,high,"pella.com/locations/tx/frisco/ ""Frisco Window & Door Replacement""; ""50% Installation"" offer, 10050 Legacy Dr Ste 300",YES,Window
Performance Windows Dallas East,https://goperformancewindows.com/tx/dallas-east/,goperformancewindows.com,Dallas,TX,+1 682-349-7949,"10945 Estate Ln Ste E255, Dallas, TX 75238, United States",5.0,3,Yes,Residential replacement window installation,Residential,False,Replacement window company,high,"goperformancewindows.com ""Window Replacement & Installation""; /tx/dallas-east/ ""Dallas East, TX - Best Window Replacement Company""; ""highest-quality residential windows for homeowners""",,Window
Planet Glass & Mirror LLC,https://planetglasstx.com/,planetglasstx.com,,,+1 972-415-1222,,5.0,5,Yes,"Window glass replacement and full window replacement, plus shower glass and mirrors",Both,False,Glass and mirror company (Richardson/Dallas TX),high,"Yahoo Local listing ""Planet Glass in Richardson, TX"" - Doors & Windows business offering ""shower glass and window glass""; Google review: ""replacing 22 windows in my 1978 home... old windows to remove and Installed""",,Window
Plano Home Window Replacement,https://planohomewindowreplacement.com/,planohomewindowreplacement.com,,,+1 469-551-4499,,,,Yes,"Home window replacement and new window installation, plus sliding glass doors",Residential,False,Window and door replacement contractor,high,"planohomewindowreplacement.com/windows/home-window-replacement-plano/ and /windows/our-process-for-new-window-installation-plano/; ""full-service door & window replacement and installation company""",,Window
POLAR CLEAR GLASS REPAIR,http://polarclearwindows.com/,polarclearwindows.com,,,+1 972-765-5762,,4.8,544,Yes,"Window repair and replacement, double-pane/foggy IGU glass repair, energy-efficient windows, patio doors",Both,False,Residential and commercial glass installation/repair company,high,"polarclearwindows.com: ""glass installation company established in Dallas and Houston Texas... residential and commercial glass all around the Dallas metroplex""; services include ""window replacement... double pane glass repair""",,Window
ProTex Remodeling Windows - Doors - Siding,https://www.protexremodeling.com/,protexremodeling.com,Burleson,TX,+1 817-422-0552,"5001 FM1187 Ste 150, Burleson, TX 76028, United States",5.0,150,Yes,"Replacement window installation, custom and egress windows, solar tubes; also doors and siding",Residential,False,"Exterior remodeler - windows, doors, siding",high,"protexremodeling.com homepage title ""Window & Siding Replacement""; ""custom windows, egress windows... window installation, window replacement""; ""installs replacement windows across the entire Dallas-Fort Worth metroplex""",,Window
Radiant Windows & Glass,https://www.radiantwindowsglass.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Maps,radiantwindowsglass.com,Dallas,TX,+1 469-727-9745,"5730 Martel Ave #118, Dallas, TX 75206, United States",5.0,21,Yes,"Energy-efficient replacement windows, window repair, window glass replacement (also shower glass, mirrors, window cleaning)",Both,False,Window replacement and glass repair company,high,radiantwindowsglass.com/service/window-replacement/ '#1 Window Replacement Services' and /service-areas/replacement-windows-dallas/ 'Dallas Window Replacement And Glass Services',,Window
RAM Windows & Doors,https://ramwindows.com/,ramwindows.com,Dallas,TX,+1 469-520-7866,"134 Oak Lawn Ave, Dallas, TX 75207, United States",4.0,31,Yes,"Thermally-broken aluminum windows manufactured, plus installation, repair and replacement",Both,False,Aluminum window and door manufacturer and installer,high,"ramwindows.com/windows-doors-dallas/ - Dallas location 'offers expert installation, repair, and replacement services with free quotes'; 'supported architects, builders and remodelers, commercial building contractors, developers and homeowners since 1978'",,Window
Ramos Windows,http://ramoswindows.com/,ramoswindows.com,Dallas,TX,+1 469-235-4392,"1807 Joan Dr, Dallas, TX 75217, United States",5.0,6,Yes,"Window installation and replacement, retrofit windows, fogged/damaged glass replacement, solar screens",Residential,False,Residential window and glass installer,high,"ramoswindows.com/services/ - 'Windows Installation & Replacement - their professional window handymen are qualified to install and replace any type of windows'; 'a lot of experience on retrofit windows, replacement damage fogged glass'",,Window
RDS Door & Windows,http://www.rdswindows.com/,rdswindows.com,Garland,TX,+1 972-272-7527,"230 Range Dr, Garland, TX 75040, United States",5.0,85,Yes,"Full window replacement in vinyl, fiberglass, aluminium and wood (Pella Certified Contractor); frame, sash and glass inserts - does not do glass-only replacement",Residential,False,Window and door replacement contractor,high,"rdswindows.com/windows/ 'Window Replacement' and /service-area/window-replacment-garland/; 'wide range of options in full window replacement... in vinyl, fiberglass, aluminium and wood'",,Window
Reflection Glass,http://reflectionglass.com/,reflectionglass.com,Carrollton,TX,+1 888-698-5151,"1421 Champion Dr Ste 308, Carrollton, TX 75006, United States",4.6,53,Yes,"New window installation, window repair, commercial storefronts and glass doors",Both,False,Residential and commercial glass company,high,"reflectionglass.com/residential-glass/ 'Residential Glass Installation in Carrollton, TX'; specialties include 'new window installation, window repair and commercial storefronts and doors'; Procore listing: 'Windows, Glass and Glazing, Entrances and Storefronts'",,Window
Renewal by Andersen Window Replacement,https://renewalbyandersenreplacement.com/locations/tx/dallas/?utm_source=googlebusinessprofile&utm_medium=organic,renewalbyandersenreplacement.com,Carrollton,TX,+1 469-699-8381,"1215 W Crosby Rd #180, Carrollton, TX 75006, United States",4.8,2987,Yes,Full-service replacement window and patio/entry door installation,Residential,False,Replacement window company (manufacturer-direct),high,"renewalbyandersen.com/locations/north-tx/carrollton titled 'Window & Door Replacement in Carrollton, TX' at 1215 W Crosby Rd #180 - matches the listed address; 'meticulously crafted and expertly installed windows'",,Window
Rowlett Windows & Doors,https://windowsrowlett.com/,windowsrowlett.com,,,+1 214-319-8832,,4.8,12,Yes,"Window installation and replacement in vinyl, wood, aluminum and steel; emergency window replacement",Both,False,Window replacement and door installation company,high,windowsrowlett.com/window-replacement/ 'Window Replacement Rowlett TX' and /window-installation/; 'quality window installation and window replacement services for both residential and commercial properties',,Window
Salazar & Sons Window Co.,https://salazarandsonswindow.com/,salazarandsonswindow.com,,,+1 469-994-9236,,5.0,7,Yes,"Window installation (new construction), window replacement (energy-efficient upgrades), and window repair (broken glass, failed seals, damaged frames)",Residential,False,"Window installation/replacement contractor, DFW",high,"salazarandsonswindow.com: family-owned, 'installs, replaces, and repairs windows'; service sections Window Installation / Window Replacement / Window Repair across Dallas-Fort Worth",,Window
Silverback Windows,https://www.silverbackwindows.com/,silverbackwindows.com,Dallas,TX,+1 469-388-5175,"4329 McKinney Ave #19, Dallas, TX 75205, United States",5.0,48,Yes,Replacement windows (aluminum and vinyl) and doors,Residential,False,"Replacement window company, Dallas",high,"BBB profile category 'replacement windows'; 'specializes in all replacement window and door needs', 4329 McKinney Ave, Dallas; silverbackwindows.com home page",,Window
Simple Glass,https://www.simpleglassdallas.com/,simpleglassdallas.com,Carrollton,TX,+1 469-256-6884,"1225 W College Ave Ste 506, Carrollton, TX 75006, United States",5.0,16,Yes,"Glass repair, replacement and installation for windows, storefronts, curtain walls and partitions; residential and commercial window repair; emergency glass replacement",Both,False,Full-service commercial and residential glass company,high,"Page titles simpleglassdallas.com/commercial/window-repair/ 'Commercial Window Repair in Dallas' and /residential-glass/ 'Dallas Residential Glass Services'; carries windows, glass doors, curtain walls",,Window
Skylight Solutions,https://www.skylightsolutions.com/,skylightsolutions.com,Dallas,TX,+1 972-263-6033,"2276 Larson Ln, Dallas, TX 75229, United States",4.9,73,Yes,"Skylight and roof-window installation, replacement and repair (VELUX), plus sun tunnels/solar tubes — roof glazing only, no vertical/wall window replacement found",Both,False,"Skylight and solar-tube installer, DFW (VELUX Signature Service Partner)",low,"skylightsolutions.com/ 'Skylight Repairs, Replacements, And Installations'; /new-installations; 'replacement of damaged skylights ... including Velux skylights and roof windows'",,Window
"Sol Solutions - Custom Windows and Doors Estimate - Dallas, TX",https://ntxsol.com/,ntxsol.com,Dallas,TX,+1 469-708-8151,"6750 Hillcrest Plaza Dr #214, Dallas, TX 75230, United States",5.0,35,,"Window installation and replacement (Low-E vinyl / Milgard), plus doors, patio doors and seamless gutters",Residential,False,"Windows, doors and gutters installation/replacement contractor",high,ntxsol.com/ page title 'Sol Solutions - Dallas Window Installation and Replacement'; /quality-windows-and-doors/; partnered with Milgard Windows and Doors,,Window
"Solid Exteriors, LLC",http://solid-exteriors.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16700656850061699214,solid-exteriors.com,,,+1 469-520-0466,,4.9,15,Yes,"Windows listed as a service alongside James Hardie siding, doors and gutters",Residential,False,"Exterior remodeling / siding contractor, DFW",high,"'Solid Exteriors specializes in Hardie Fiber Cement Siding, Windows, Doors and Gutters as well as Pergolas, Decks, Patios...' (solid-exteriors.com / Houzz profile)",,Window
"SONIQ Windows & Doors, Dallas",https://soniqwindowsanddoors.com/,soniqwindowsanddoors.com,Dallas,TX,,"5033 Willis Ave, Dallas, TX 75206, United States",5.0,5035,,Direct-to-consumer manufacturer of thermal-break aluminum windows and doors that also handles installation ('from initiation to installation and beyond'),Both,False,Aluminum window and door manufacturer/installer with a Dallas branch,medium,"soniqwindows.com/install/ 'Specs & Install'; soniqwindowsanddoors.com article 'Best windows & doors installation service in the USA'; 'work directly with customers, with no middleman ... no third-party distributors'",,Window
Southern Windows and Doors,https://slwindowsdfw.com/,slwindowsdfw.com,Richardson,TX,+1 214-499-5095,"1303 Columbia Dr Ste. 207, Richardson, TX 75081, United States",4.7,30,Yes,"Replacement window installation (vinyl, aluminum, slimline; double-hung, casement, bay), fogged window replacement, entry and patio doors",Residential,False,"Replacement window and door installer, Richardson/DFW",high,slwindowsdfw.com/ 'Southern Windows and Doors - Window Installation & Replacement'; /window-replacement/; /fogged-window-replacement-in-richardson-tx/,,Window
Southwest Door & Window,https://southwestdw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-dallas&utm_id=local&utm_content=dallas,southwestdw.com,Dallas,TX,+1 214-341-2212,"10255 Miller Rd, Dallas, TX 75238, United States",4.2,68,Yes,"Exterior window installation and replacement (vinyl and aluminum windows) plus entry and patio doors, for builders and homeowners",Residential,False,"Window and door dealer/installer, Dallas",high,"southwestdw.com/replacement-windows-dallas-tx/ 'Replacement Windows in Dallas, TX - Window Contractor'; 'specializes in exterior window and door installation'",,Window
Statewide Energy Solutions Inc.,https://statewideenergysolutions.com/,statewideenergysolutions.com,,,+1 214-960-2798,,4.7,115,Yes,Energy-efficient replacement windows (locally manufactured) with installation; also custom doors and James Hardie siding. Note: they do not do window repair or glass-only replacement,Residential,False,"Replacement window manufacturer/installer and exterior remodeler, Dallas",high,"statewideenergysolutions.com/ 'Statewide Energy Solutions: Window Replacement in Dallas, TX'; /window-options/; 'specializes in energy-efficient replacement windows ... advanced installation techniques'",YES,Window
Sun & Sound Windows - DFW,https://sunandsoundwindows.com/,sunandsoundwindows.com,,,+1 214-771-9544,,4.6,9,Yes,"Custom-makes and installs laminated-glass soundproof window inserts (secondary glazing) into existing windows and doors — measuring, manufacturing and installation; not full window replacement",Both,False,"Soundproof window insert manufacturer/installer (Houston, Austin, DFW, Nashville)",low,"sunandsoundwindows.com/how-soundproof-windows-work/ and /window-inserts-for-drafty-windows/; 'custom make and install laminated glass soundproof inserts for windows and doors ... measuring, manufacturing, and installation'",,Window
SunSmart Windows of Dallas,http://dallas.sunsmarthome.com/,dallas.sunsmarthome.com,,,,,,,Yes,Custom energy-efficient window installation and replacement plus door installation; commercial and residential window replacement,Both,False,"Window and door sales and installation company, Fort Worth/Dallas",high,"dallas.sunsmarthome.com/ 'Premium Window Installation And Replacement Dallas, TX'; sunsmarthome.com/home 'Replacement Windows and Doors DFW, TX'; 'selling and installing custom windows and doors for homeowners and contractors'",,Window
SWP GLOBAL LLC,https://swpgloballlc.com/contact-us,swpgloballlc.com,,,+1 469-514-1415,,4.2,5,Yes,Security storefronts and curtain wall installation; commercial door and window replacement,Commercial,False,Commercial construction / storefront glazing contractor,high,"Texas business registration for SWP Global LLC - 'specializes in security storefronts, office renovations, and curtain wall installations'; swpgloballlc.com gallery; Google review: 'This company replaced all the doors and windows for my restaurant'",,Window
TBP Windows and Doors,https://www.tbpusa.com/?utm_source=GoogleBusinessProfile&utm_medium=organic,tbpusa.com,Dallas,TX,+1 214-214-3667,"10460 Shady Trail Ste 102, Dallas, TX 75220, United States",,,Yes,"Custom steel, wood-clad and aluminum windows and doors supplied with professional installation",Residential,False,Custom window and door distributor/installer,high,"tbpusa.com - 'distributor of custom steel, wood clad, and aluminum windows & doors to builders, remodelers, and homeowners'; company benefits listed include 'professional installation' and '5-year free service maintenance'; /service/aluminum and /service/custom-steel pages",,Window
Texas Window & Door,https://twdremodeling.com/,twdremodeling.com,,,+1 469-588-4890,,5.0,81,Yes,"Custom window installation and replacement (picture, awning, French, patio) plus doors",Residential,False,"Remodeler - windows, doors and shower remodels",high,twdremodeling.com/services/windows-doors/ 'Custom Windows and Doors in Texas... with expert installation and replacement services for homes in Texas',,Window
The Window Authority,https://thewindowauthority.com/,thewindowauthority.com,Fort Worth,TX,+1 817-349-3334,"3625 W Vickery Blvd, Fort Worth, TX 76107, United States",4.9,208,Yes,"Replacement window installation - vinyl, aluminum, fiberglass, wood (Pella, ProVia, Simonton, Burris, NT Window, Milgard)",Residential,False,Window and door replacement contractor,high,thewindowauthority.com/windows/window-replacement 'Window Replacement Dallas-Fort Worth TX'; 'one of the leading installers of doors and windows in Dallas-Fort Worth',,Window
The Window Connection,https://dallaswindows.com/,dallaswindows.com,,,+1 972-951-6120,,5.0,69,Yes,"Replacement window installation - vinyl, fiberglass, composite, aluminum and wood; plus sliding, French and entry doors",Residential,False,Window and door installation contractor,high,dallaswindows.com/replacement-windows.htm 'Window Connection Replacement Windows Dallas'; 'the most award winning window and door installation contractor in the Dallas Fort Worth Metroplex',,Window
The Window Experts,https://thewindowexperts.com/?utm_campaign=gmb-DFW,thewindowexperts.com,Fort Worth,TX,+1 817-286-7899,"7568 Sand St, Fort Worth, TX 76118, United States",5.0,120,Yes,"Replacement windows and doors from 12+ brands, including aluminum replacement windows",Residential,False,Window replacement company,high,thewindowexperts.com/locations/dallas-fort-worth/ 'Replacement Windows & Doors in DFW'; /product/aluminum-windows/ 'Aluminum Replacement Windows in HOU & DFW',,Window
The Window Source of DFW,https://www.windowsourcedfw.com/,windowsourcedfw.com,Carrollton,TX,+1 469-655-9148,"3216 Commander Dr Ste 101, Carrollton, TX 75006, United States",5.0,153,Yes,"Custom-fit, locally manufactured replacement windows plus exterior and sliding door replacement",Residential,False,Replacement window dealer/installer,high,"windowsourcedfw.com/service/ 'Professional Window Service in DFW'; 'specializes in custom fit, locally manufactured residential windows, exterior and sliding door replacement'",,Window
Thermal Windows,http://www.thermalwindowsdfw.com/,thermalwindowsdfw.com,Dallas,TX,+1 214-630-5885,"8808 Empress Row, Dallas, TX 75247, United States",4.6,122,Yes,"Manufactures and installs vinyl, thermally-broken aluminum and fiberglass replacement windows",Residential,False,Window manufacturer and installer (J&M Glass Co. dba Thermal Windows),high,"thermalwindowsdfw.com - 'manufacture and install double hung new & replacement windows in Dallas, Fort Worth Texas... manufacture in their Dallas factory using their own employees to install'",,Window
Transom Windows and Doors,https://transomwindowsanddoors.com/,transomwindowsanddoors.com,Dallas,TX,+1 214-205-0903,"11837 Judd Ct #112, Dallas, TX 75243, United States",5.0,3,Yes,"Window and door installation and replacement (Andersen, Pella); vinyl and composite replacement windows; also fiber cement siding",Residential,False,Window & door replacement contractor / exterior remodeler,high,"Site page titles: 'Transom Windows and Doors Installation and Replacement' (transomwindowsanddoors.com/), 'Composite Windows' (/windows/composite/), 'Vinyl Windows' (/windows/vinyl/), 'Custom Replacement Luxury Doors and Windows Dallas, Texas'",,Window
United Window Services LLC,https://unitedwindowservicesllc.net/,unitedwindowservicesllc.net,,,+1 469-509-5909,,5.0,6,Yes,"Window repair and replacement — glass and mechanism repairs, full window installation",Residential,False,Window repair / replacement service,medium,Google review text: 'Rigo from United Window Services came and fixed three windows with glass and mechanism repairs'; another: 'From the initial consultation through the final installation... the installation was clean'. No indexed company-site content surfaced in either search.,,Window
Vantage Windows LLC,https://thevantagewindows.com/,thevantagewindows.com,Farmers Branch,TX,+1 469-283-6744,"2100 Valley View Ln #301, Farmers Branch, TX 75234, United States",4.6,94,Yes,"Residential window replacement, installation and repair; custom vinyl windows; authorized Alside dealer; also doors",Residential,False,Energy-efficient replacement window company,high,Site title 'Vantage Windows — Premium Custom Window & Door Replacement' (thevantagewindows.com/); LinkedIn/BBB describe 'authorized dealer for Alside... expert window and door installation to homeowners across Texas',,Window
Window & Door Hilt LLC,https://windowanddoorhilt.com/,windowanddoorhilt.com,Rockwall,TX,+1 361-563-9230,"1213 Marilyn Jayne Ln, Rockwall, TX 75087, United States",,,Yes,Energy-efficient replacement window systems (ThermaLast) and doors for Dallas/Rockwall homes,Residential,False,Window and door contractor,high,"Site page 'ThermaLast Energy Efficient Windows' at windowanddoorhilt.com/thermalast-windows-dallas-tx — 'energy-efficient, heat-resistant window systems in Dallas, TX for less heat, fewer drafts'; address 1213 Marilyn Jayne, Rockwall TX and phone (361) 563-9230 match",,Window
Window Depot Dallas /Plano,https://windowdepotdallas.com/,windowdepotdallas.com,Plano,TX,+1 214-399-9592,"2828 W Parker Rd Ste 203B, Plano, TX 75075, United States",4.9,38,Yes,"Replacement windows (double hung, slider, casement, fixed, bay/bow, garden) with certified installers; also siding and entry/patio doors",Residential,False,Replacement window dealer/installer,high,"'Plano Office - Window Depot USA of Dallas' (windowdepotdallas.com/about-us/plano-office, 2828 W Parker Rd #203b, Plano) and /windows — 'quality, performance, and affordability for their replacement windows, siding, and entry door projects'; 'sponsor certification of installers through InstallationMasters'",YES,Window
