verdict,verification,company_name,website,domain,city,state,phone,address,rating,review_count,google_verified,window_service,segment,also_does_auto_glass,primary_business,confidence,evidence,duplicate_domain,original_spreadsheet_tab
NO,web-searched,Pink's Windows Dallas,https://pinkswindows.com/dallas,pinkswindows.com,,,+1 214-974-5643,,5.0,341,Yes,,,False,Window cleaning and pressure washing,high,"pinkswindows.com/dallas/ page title ""Window Cleaning Dallas""; services listed are Exterior/Interior Windows, Power Washing, Gutter Cleaning, Roof Washing; BBB category ""window cleaning""",,Window
YES,web-searched,Planet Glass & Mirror LLC,https://planetglasstx.com/,planetglasstx.com,,,+1 972-415-1222,,5.0,5,Yes,"Window glass replacement and full window replacement, plus shower glass and mirrors",Both,False,Glass and mirror company (Richardson/Dallas TX),high,"Yahoo Local listing ""Planet Glass in Richardson, TX"" - Doors & Windows business offering ""shower glass and window glass""; Google review: ""replacing 22 windows in my 1978 home... old windows to remove and Installed""",,Window
YES,web-searched,Plano Home Window Replacement,https://planohomewindowreplacement.com/,planohomewindowreplacement.com,,,+1 469-551-4499,,,,Yes,"Home window replacement and new window installation, plus sliding glass doors",Residential,False,Window and door replacement contractor,high,"planohomewindowreplacement.com/windows/home-window-replacement-plano/ and /windows/our-process-for-new-window-installation-plano/; ""full-service door & window replacement and installation company""",,Window
YES,web-searched,POLAR CLEAR GLASS REPAIR,http://polarclearwindows.com/,polarclearwindows.com,,,+1 972-765-5762,,4.8,544,Yes,"Window repair and replacement, double-pane/foggy IGU glass repair, energy-efficient windows, patio doors",Both,False,Residential and commercial glass installation/repair company,high,"polarclearwindows.com: ""glass installation company established in Dallas and Houston Texas... residential and commercial glass all around the Dallas metroplex""; services include ""window replacement... double pane glass repair""",,Window
NO,web-searched,Precision Exterior & Services,https://www.precisionexteriorservice.com/,precisionexteriorservice.com,,,+1 817-964-1364,,5.0,6,Yes,,,False,"Exterior cleaning - window cleaning, pressure washing, gutter cleaning",high,"precisionexteriorservice.com/about: ""expert window cleaning inside and out, including panes, screens, frames, tracks, and seals"" plus pressure washing, gutter cleaning, soft washing, solar panel cleaning. No install/replacement offered.",,Window
YES,web-searched,ProTex Remodeling Windows - Doors - Siding,https://www.protexremodeling.com/,protexremodeling.com,Burleson,TX,+1 817-422-0552,"5001 FM1187 Ste 150, Burleson, TX 76028, United States",5.0,150,Yes,"Replacement window installation, custom and egress windows, solar tubes; also doors and siding",Residential,False,"Exterior remodeler - windows, doors, siding",high,"protexremodeling.com homepage title ""Window & Siding Replacement""; ""custom windows, egress windows... window installation, window replacement""; ""installs replacement windows across the entire Dallas-Fort Worth metroplex""",,Window
YES,web-searched,Radiant Windows & Glass,https://www.radiantwindowsglass.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Maps,radiantwindowsglass.com,Dallas,TX,+1 469-727-9745,"5730 Martel Ave #118, Dallas, TX 75206, United States",5.0,21,Yes,"Energy-efficient replacement windows, window repair, window glass replacement (also shower glass, mirrors, window cleaning)",Both,False,Window replacement and glass repair company,high,radiantwindowsglass.com/service/window-replacement/ '#1 Window Replacement Services' and /service-areas/replacement-windows-dallas/ 'Dallas Window Replacement And Glass Services',,Window
YES,web-searched,RAM Windows & Doors,https://ramwindows.com/,ramwindows.com,Dallas,TX,+1 469-520-7866,"134 Oak Lawn Ave, Dallas, TX 75207, United States",4.0,31,Yes,"Thermally-broken aluminum windows manufactured, plus installation, repair and replacement",Both,False,Aluminum window and door manufacturer and installer,high,"ramwindows.com/windows-doors-dallas/ - Dallas location 'offers expert installation, repair, and replacement services with free quotes'; 'supported architects, builders and remodelers, commercial building contractors, developers and homeowners since 1978'",,Window
YES,web-searched,Ramos Windows,http://ramoswindows.com/,ramoswindows.com,Dallas,TX,+1 469-235-4392,"1807 Joan Dr, Dallas, TX 75217, United States",5.0,6,Yes,"Window installation and replacement, retrofit windows, fogged/damaged glass replacement, solar screens",Residential,False,Residential window and glass installer,high,"ramoswindows.com/services/ - 'Windows Installation & Replacement - their professional window handymen are qualified to install and replace any type of windows'; 'a lot of experience on retrofit windows, replacement damage fogged glass'",,Window
YES,web-searched,RDS Door & Windows,http://www.rdswindows.com/,rdswindows.com,Garland,TX,+1 972-272-7527,"230 Range Dr, Garland, TX 75040, United States",5.0,85,Yes,"Full window replacement in vinyl, fiberglass, aluminium and wood (Pella Certified Contractor); frame, sash and glass inserts - does not do glass-only replacement",Residential,False,Window and door replacement contractor,high,"rdswindows.com/windows/ 'Window Replacement' and /service-area/window-replacment-garland/; 'wide range of options in full window replacement... in vinyl, fiberglass, aluminium and wood'",,Window
YES,web-searched,Reflection Glass,http://reflectionglass.com/,reflectionglass.com,Carrollton,TX,+1 888-698-5151,"1421 Champion Dr Ste 308, Carrollton, TX 75006, United States",4.6,53,Yes,"New window installation, window repair, commercial storefronts and glass doors",Both,False,Residential and commercial glass company,high,"reflectionglass.com/residential-glass/ 'Residential Glass Installation in Carrollton, TX'; specialties include 'new window installation, window repair and commercial storefronts and doors'; Procore listing: 'Windows, Glass and Glazing, Entrances and Storefronts'",,Window
YES,web-searched,Renewal by Andersen Window Replacement,https://renewalbyandersenreplacement.com/locations/tx/dallas/?utm_source=googlebusinessprofile&utm_medium=organic,renewalbyandersenreplacement.com,Carrollton,TX,+1 469-699-8381,"1215 W Crosby Rd #180, Carrollton, TX 75006, United States",4.8,2987,Yes,Full-service replacement window and patio/entry door installation,Residential,False,Replacement window company (manufacturer-direct),high,"renewalbyandersen.com/locations/north-tx/carrollton titled 'Window & Door Replacement in Carrollton, TX' at 1215 W Crosby Rd #180 - matches the listed address; 'meticulously crafted and expertly installed windows'",,Window
YES,web-searched,Rowlett Windows & Doors,https://windowsrowlett.com/,windowsrowlett.com,,,+1 214-319-8832,,4.8,12,Yes,"Window installation and replacement in vinyl, wood, aluminum and steel; emergency window replacement",Both,False,Window replacement and door installation company,high,windowsrowlett.com/window-replacement/ 'Window Replacement Rowlett TX' and /window-installation/; 'quality window installation and window replacement services for both residential and commercial properties',,Window
YES,web-searched,Salazar & Sons Window Co.,https://salazarandsonswindow.com/,salazarandsonswindow.com,,,+1 469-994-9236,,5.0,7,Yes,"Window installation (new construction), window replacement (energy-efficient upgrades), and window repair (broken glass, failed seals, damaged frames)",Residential,False,"Window installation/replacement contractor, DFW",high,"salazarandsonswindow.com: family-owned, 'installs, replaces, and repairs windows'; service sections Window Installation / Window Replacement / Window Repair across Dallas-Fort Worth",,Window
YES,web-searched,Silverback Windows,https://www.silverbackwindows.com/,silverbackwindows.com,Dallas,TX,+1 469-388-5175,"4329 McKinney Ave #19, Dallas, TX 75205, United States",5.0,48,Yes,Replacement windows (aluminum and vinyl) and doors,Residential,False,"Replacement window company, Dallas",high,"BBB profile category 'replacement windows'; 'specializes in all replacement window and door needs', 4329 McKinney Ave, Dallas; silverbackwindows.com home page",,Window
YES,web-searched,Simple Glass,https://www.simpleglassdallas.com/,simpleglassdallas.com,Carrollton,TX,+1 469-256-6884,"1225 W College Ave Ste 506, Carrollton, TX 75006, United States",5.0,16,Yes,"Glass repair, replacement and installation for windows, storefronts, curtain walls and partitions; residential and commercial window repair; emergency glass replacement",Both,False,Full-service commercial and residential glass company,high,"Page titles simpleglassdallas.com/commercial/window-repair/ 'Commercial Window Repair in Dallas' and /residential-glass/ 'Dallas Residential Glass Services'; carries windows, glass doors, curtain walls",,Window
YES,web-searched,Skylight Solutions,https://www.skylightsolutions.com/,skylightsolutions.com,Dallas,TX,+1 972-263-6033,"2276 Larson Ln, Dallas, TX 75229, United States",4.9,73,Yes,"Skylight and roof-window installation, replacement and repair (VELUX), plus sun tunnels/solar tubes — roof glazing only, no vertical/wall window replacement found",Both,False,"Skylight and solar-tube installer, DFW (VELUX Signature Service Partner)",low,"skylightsolutions.com/ 'Skylight Repairs, Replacements, And Installations'; /new-installations; 'replacement of damaged skylights ... including Velux skylights and roof windows'",,Window
YES,web-searched,"Sol Solutions - Custom Windows and Doors Estimate - Dallas, TX",https://ntxsol.com/,ntxsol.com,Dallas,TX,+1 469-708-8151,"6750 Hillcrest Plaza Dr #214, Dallas, TX 75230, United States",5.0,35,,"Window installation and replacement (Low-E vinyl / Milgard), plus doors, patio doors and seamless gutters",Residential,False,"Windows, doors and gutters installation/replacement contractor",high,ntxsol.com/ page title 'Sol Solutions - Dallas Window Installation and Replacement'; /quality-windows-and-doors/; partnered with Milgard Windows and Doors,,Window
YES,web-searched,"Solid Exteriors, LLC",http://solid-exteriors.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16700656850061699214,solid-exteriors.com,,,+1 469-520-0466,,4.9,15,Yes,"Windows listed as a service alongside James Hardie siding, doors and gutters",Residential,False,"Exterior remodeling / siding contractor, DFW",high,"'Solid Exteriors specializes in Hardie Fiber Cement Siding, Windows, Doors and Gutters as well as Pergolas, Decks, Patios...' (solid-exteriors.com / Houzz profile)",,Window
YES,web-searched,"SONIQ Windows & Doors, Dallas",https://soniqwindowsanddoors.com/,soniqwindowsanddoors.com,Dallas,TX,,"5033 Willis Ave, Dallas, TX 75206, United States",5.0,5035,,Direct-to-consumer manufacturer of thermal-break aluminum windows and doors that also handles installation ('from initiation to installation and beyond'),Both,False,Aluminum window and door manufacturer/installer with a Dallas branch,medium,"soniqwindows.com/install/ 'Specs & Install'; soniqwindowsanddoors.com article 'Best windows & doors installation service in the USA'; 'work directly with customers, with no middleman ... no third-party distributors'",,Window
YES,web-searched,Southern Windows and Doors,https://slwindowsdfw.com/,slwindowsdfw.com,Richardson,TX,+1 214-499-5095,"1303 Columbia Dr Ste. 207, Richardson, TX 75081, United States",4.7,30,Yes,"Replacement window installation (vinyl, aluminum, slimline; double-hung, casement, bay), fogged window replacement, entry and patio doors",Residential,False,"Replacement window and door installer, Richardson/DFW",high,slwindowsdfw.com/ 'Southern Windows and Doors - Window Installation & Replacement'; /window-replacement/; /fogged-window-replacement-in-richardson-tx/,,Window
YES,web-searched,Southwest Door & Window,https://southwestdw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-dallas&utm_id=local&utm_content=dallas,southwestdw.com,Dallas,TX,+1 214-341-2212,"10255 Miller Rd, Dallas, TX 75238, United States",4.2,68,Yes,"Exterior window installation and replacement (vinyl and aluminum windows) plus entry and patio doors, for builders and homeowners",Residential,False,"Window and door dealer/installer, Dallas",high,"southwestdw.com/replacement-windows-dallas-tx/ 'Replacement Windows in Dallas, TX - Window Contractor'; 'specializes in exterior window and door installation'",,Window
YES,web-searched,Statewide Energy Solutions Inc.,https://statewideenergysolutions.com/,statewideenergysolutions.com,,,+1 214-960-2798,,4.7,115,Yes,Energy-efficient replacement windows (locally manufactured) with installation; also custom doors and James Hardie siding. Note: they do not do window repair or glass-only replacement,Residential,False,"Replacement window manufacturer/installer and exterior remodeler, Dallas",high,"statewideenergysolutions.com/ 'Statewide Energy Solutions: Window Replacement in Dallas, TX'; /window-options/; 'specializes in energy-efficient replacement windows ... advanced installation techniques'",YES,Window
YES,web-searched,Sun & Sound Windows - DFW,https://sunandsoundwindows.com/,sunandsoundwindows.com,,,+1 214-771-9544,,4.6,9,Yes,"Custom-makes and installs laminated-glass soundproof window inserts (secondary glazing) into existing windows and doors — measuring, manufacturing and installation; not full window replacement",Both,False,"Soundproof window insert manufacturer/installer (Houston, Austin, DFW, Nashville)",low,"sunandsoundwindows.com/how-soundproof-windows-work/ and /window-inserts-for-drafty-windows/; 'custom make and install laminated glass soundproof inserts for windows and doors ... measuring, manufacturing, and installation'",,Window
YES,web-searched,SunSmart Windows of Dallas,http://dallas.sunsmarthome.com/,dallas.sunsmarthome.com,,,,,,,Yes,Custom energy-efficient window installation and replacement plus door installation; commercial and residential window replacement,Both,False,"Window and door sales and installation company, Fort Worth/Dallas",high,"dallas.sunsmarthome.com/ 'Premium Window Installation And Replacement Dallas, TX'; sunsmarthome.com/home 'Replacement Windows and Doors DFW, TX'; 'selling and installing custom windows and doors for homeowners and contractors'",,Window
YES,web-searched,SWP GLOBAL LLC,https://swpgloballlc.com/contact-us,swpgloballlc.com,,,+1 469-514-1415,,4.2,5,Yes,Security storefronts and curtain wall installation; commercial door and window replacement,Commercial,False,Commercial construction / storefront glazing contractor,high,"Texas business registration for SWP Global LLC - 'specializes in security storefronts, office renovations, and curtain wall installations'; swpgloballlc.com gallery; Google review: 'This company replaced all the doors and windows for my restaurant'",,Window
YES,web-searched,TBP Windows and Doors,https://www.tbpusa.com/?utm_source=GoogleBusinessProfile&utm_medium=organic,tbpusa.com,Dallas,TX,+1 214-214-3667,"10460 Shady Trail Ste 102, Dallas, TX 75220, United States",,,Yes,"Custom steel, wood-clad and aluminum windows and doors supplied with professional installation",Residential,False,Custom window and door distributor/installer,high,"tbpusa.com - 'distributor of custom steel, wood clad, and aluminum windows & doors to builders, remodelers, and homeowners'; company benefits listed include 'professional installation' and '5-year free service maintenance'; /service/aluminum and /service/custom-steel pages",,Window
YES,web-searched,Texas Window & Door,https://twdremodeling.com/,twdremodeling.com,,,+1 469-588-4890,,5.0,81,Yes,"Custom window installation and replacement (picture, awning, French, patio) plus doors",Residential,False,"Remodeler - windows, doors and shower remodels",high,twdremodeling.com/services/windows-doors/ 'Custom Windows and Doors in Texas... with expert installation and replacement services for homes in Texas',,Window
YES,web-searched,The Window Authority,https://thewindowauthority.com/,thewindowauthority.com,Fort Worth,TX,+1 817-349-3334,"3625 W Vickery Blvd, Fort Worth, TX 76107, United States",4.9,208,Yes,"Replacement window installation - vinyl, aluminum, fiberglass, wood (Pella, ProVia, Simonton, Burris, NT Window, Milgard)",Residential,False,Window and door replacement contractor,high,thewindowauthority.com/windows/window-replacement 'Window Replacement Dallas-Fort Worth TX'; 'one of the leading installers of doors and windows in Dallas-Fort Worth',,Window
YES,web-searched,The Window Connection,https://dallaswindows.com/,dallaswindows.com,,,+1 972-951-6120,,5.0,69,Yes,"Replacement window installation - vinyl, fiberglass, composite, aluminum and wood; plus sliding, French and entry doors",Residential,False,Window and door installation contractor,high,dallaswindows.com/replacement-windows.htm 'Window Connection Replacement Windows Dallas'; 'the most award winning window and door installation contractor in the Dallas Fort Worth Metroplex',,Window
YES,web-searched,The Window Experts,https://thewindowexperts.com/?utm_campaign=gmb-DFW,thewindowexperts.com,Fort Worth,TX,+1 817-286-7899,"7568 Sand St, Fort Worth, TX 76118, United States",5.0,120,Yes,"Replacement windows and doors from 12+ brands, including aluminum replacement windows",Residential,False,Window replacement company,high,thewindowexperts.com/locations/dallas-fort-worth/ 'Replacement Windows & Doors in DFW'; /product/aluminum-windows/ 'Aluminum Replacement Windows in HOU & DFW',,Window
YES,web-searched,The Window Source of DFW,https://www.windowsourcedfw.com/,windowsourcedfw.com,Carrollton,TX,+1 469-655-9148,"3216 Commander Dr Ste 101, Carrollton, TX 75006, United States",5.0,153,Yes,"Custom-fit, locally manufactured replacement windows plus exterior and sliding door replacement",Residential,False,Replacement window dealer/installer,high,"windowsourcedfw.com/service/ 'Professional Window Service in DFW'; 'specializes in custom fit, locally manufactured residential windows, exterior and sliding door replacement'",,Window
YES,web-searched,Thermal Windows,http://www.thermalwindowsdfw.com/,thermalwindowsdfw.com,Dallas,TX,+1 214-630-5885,"8808 Empress Row, Dallas, TX 75247, United States",4.6,122,Yes,"Manufactures and installs vinyl, thermally-broken aluminum and fiberglass replacement windows",Residential,False,Window manufacturer and installer (J&M Glass Co. dba Thermal Windows),high,"thermalwindowsdfw.com - 'manufacture and install double hung new & replacement windows in Dallas, Fort Worth Texas... manufacture in their Dallas factory using their own employees to install'",,Window
YES,web-searched,Transom Windows and Doors,https://transomwindowsanddoors.com/,transomwindowsanddoors.com,Dallas,TX,+1 214-205-0903,"11837 Judd Ct #112, Dallas, TX 75243, United States",5.0,3,Yes,"Window and door installation and replacement (Andersen, Pella); vinyl and composite replacement windows; also fiber cement siding",Residential,False,Window & door replacement contractor / exterior remodeler,high,"Site page titles: 'Transom Windows and Doors Installation and Replacement' (transomwindowsanddoors.com/), 'Composite Windows' (/windows/composite/), 'Vinyl Windows' (/windows/vinyl/), 'Custom Replacement Luxury Doors and Windows Dallas, Texas'",,Window
NO,web-searched,Trendy Home Quotes,https://hometrendyquote.com/,hometrendyquote.com,Dallas,TX,+1 225-384-1090,"2525 Inwood Rd ste 133, Dallas, TX 75235, United States",,,No,,,False,"Multi-vertical home-services quote / lead-generation site (HVAC, pest control, solar, kitchen remodel, home warranty, porta potty rentals)",medium,"Site pages are per-vertical lead pages: hometrendyquote.com/pestcontrol.html, /kitchen.html, /solar.html, /hvac.html, /homewarranty.html, /portapotty.html — no window install/replacement service page found; reads as a lead-gen aggregator, not a contractor",,Window
YES,web-searched,United Window Services LLC,https://unitedwindowservicesllc.net/,unitedwindowservicesllc.net,,,+1 469-509-5909,,5.0,6,Yes,"Window repair and replacement — glass and mechanism repairs, full window installation",Residential,False,Window repair / replacement service,medium,Google review text: 'Rigo from United Window Services came and fixed three windows with glass and mechanism repairs'; another: 'From the initial consultation through the final installation... the installation was clean'. No indexed company-site content surfaced in either search.,,Window
YES,web-searched,Vantage Windows LLC,https://thevantagewindows.com/,thevantagewindows.com,Farmers Branch,TX,+1 469-283-6744,"2100 Valley View Ln #301, Farmers Branch, TX 75234, United States",4.6,94,Yes,"Residential window replacement, installation and repair; custom vinyl windows; authorized Alside dealer; also doors",Residential,False,Energy-efficient replacement window company,high,Site title 'Vantage Windows — Premium Custom Window & Door Replacement' (thevantagewindows.com/); LinkedIn/BBB describe 'authorized dealer for Alside... expert window and door installation to homeowners across Texas',,Window
UNCLEAR,web-searched,weinstallwindows.com,https://weinstallwindows.com/,weinstallwindows.com,,,+1 214-239-9108,,,,Yes,,,False,unknown — no indexed content found,low,"Three differently-worded searches returned no indexed pages, directory listing, or review text for weinstallwindows.com or the phone 214-239-9108; only unrelated Dallas window companies. Domain name alone is not evidence.",,Window
YES,web-searched,Window & Door Hilt LLC,https://windowanddoorhilt.com/,windowanddoorhilt.com,Rockwall,TX,+1 361-563-9230,"1213 Marilyn Jayne Ln, Rockwall, TX 75087, United States",,,Yes,Energy-efficient replacement window systems (ThermaLast) and doors for Dallas/Rockwall homes,Residential,False,Window and door contractor,high,"Site page 'ThermaLast Energy Efficient Windows' at windowanddoorhilt.com/thermalast-windows-dallas-tx — 'energy-efficient, heat-resistant window systems in Dallas, TX for less heat, fewer drafts'; address 1213 Marilyn Jayne, Rockwall TX and phone (361) 563-9230 match",,Window
YES,web-searched,Window Depot Dallas /Plano,https://windowdepotdallas.com/,windowdepotdallas.com,Plano,TX,+1 214-399-9592,"2828 W Parker Rd Ste 203B, Plano, TX 75075, United States",4.9,38,Yes,"Replacement windows (double hung, slider, casement, fixed, bay/bow, garden) with certified installers; also siding and entry/patio doors",Residential,False,Replacement window dealer/installer,high,"'Plano Office - Window Depot USA of Dallas' (windowdepotdallas.com/about-us/plano-office, 2828 W Parker Rd #203b, Plano) and /windows — 'quality, performance, and affordability for their replacement windows, siding, and entry door projects'; 'sponsor certification of installers through InstallationMasters'",YES,Window
YES,web-searched,Window Depot USA of Dallas,https://windowdepotdallas.com/,windowdepotdallas.com,Irving,TX,+1 214-399-9592,"4425 W Airport Fwy Ste 119, Irving, TX 75062, United States",4.8,205,Yes,Replacement windows with in-house certified installation; siding and entry/patio doors,Residential,False,Replacement window dealer/installer,high,"windowdepotdallas.com/windows and /blog/where-to-get-free-estimates-on-replacement-windows-in-dallas-texas; About Us: 'committed to providing homeowners in Dallas, TX... replacement windows, siding, and entry door projects'",YES,Window
YES,web-searched,Window Nation,https://www.windownation.com/locations/texas/grand-prairie?utm_code=CMP-08802-Y8W8G&utm_source=google&utm_medium=organic&utm_content=GMB_showroom,windownation.com,Grand Prairie,TX,+1 972-332-5412,"2940 N Hwy 360 Ste 300, Grand Prairie, TX 75050, United States",4.7,1057,Yes,Replacement windows and doors with professional installation; national installer with Grand Prairie showroom,Residential,False,Replacement window company,high,"'Grand Prairie, Texas Home Window Replacement Experts' — windownation.com/locations/texas/grand-prairie/; location page '2940 N Hwy 360 #300, Grand Prairie, TX 75050... (972) 332-5412', 'top-rated products, expert installation'",,Window
YES,web-searched,Window Replacement,https://dallas-windows-doors.com/contact/,dallas-windows-doors.com,Dallas,TX,+1 972-640-7918,"2021 Cockrell Ave, Dallas, TX 75215, United States",5.0,503,Yes,"Window installation and window replacement, plus door installation and replacement",Residential,False,Window and door replacement company,high,"dallas-windows-doors.com/dallas/ titled 'The Best Window Replacement and Door Installation Dallas, TX'; Yelp listing 'Dallas Windows and Doors, 2021 Cockrell Ave' matches; 'specializes in window installation, window replacement, door installation, and door replacement for residential properties across Dallas'",,Window
YES,web-searched,Window Universe Dallas Ft Worth,https://windowuniversedfw.com/,windowuniversedfw.com,Irving,TX,+1 844-983-9773,"1431 Greenway Dr Ste 80042, Irving, TX 75038, United States",4.8,48205,Yes,"Replacement and custom-made windows plus doors, sold and installed for DFW homeowners; 10 window lines from 3 US manufacturers",Residential,False,Replacement window dealer/installer,high,"Site pages '#1 NO-HASSLE Replacement Windows Dallas Ft Worth' (windowuniversedfw.com/), '/replacement-windows/', '/window-and-door-installation/custom-made-windows/', '/residential-windows/'",,Window
NO,web-searched,Window Wizards,http://www.windowwizards.com/,windowwizards.com,Garland,TX,+1 214-559-8787,"2363 Merritt Dr #300, Garland, TX 75041, United States",4.7,47,Yes,,,False,"Window cleaning, gutter cleaning and pressure washing",high,"Facebook/BBB: 'Window Wizards, A Commercial & Residential Window Cleaning Company'; BBB category 'Window Cleaning'; services are 'window cleaning, gutter cleaning and pressure washing' using a pure-water cleaning process",,Window
YES,web-searched,Window World of Dallas-Fort Worth,https://www.windowworlddfw.com/,windowworlddfw.com,Grand Prairie,TX,+1 972-623-9998,"2520 N Great SW Pkwy Suite 100, Grand Prairie, TX 75050, United States",4.7,1850,Yes,"Vinyl replacement window installation, plus doors and siding",Residential,False,Replacement window company,high,"Indexed site pages 'Window Installation in Texas' (windowworlddfw.com/windows/installation/), 'Installation' (windowworlddfw.com/installation/), 'Window Replacement Company in Texas' (windowworlddfw.com/), 'Replacement Doors in Dallas, Texas' (/doors/); described as 'leading provider of vinyl replacement windows, siding, and doors'",YES,Window
YES,web-searched,Window World of Dallas-Fort Worth,https://www.windowworlddfw.com/,windowworlddfw.com,Richardson,TX,+1 972-623-9993,"600 N Coit Rd Ste 2052, Richardson, TX 75080, United States",4.7,789,Yes,"Vinyl replacement window installation, plus doors and siding (Richardson location of the same DFW franchise)",Residential,False,Replacement window company,high,"Same domain as ID 133: 'Window Installation in Texas' windowworlddfw.com/windows/installation/ and 'Window Replacement Company in Texas'; Google review: 'through the sales process, ordering my custom windows, and the installation'",YES,Window
YES,web-searched,Window Zone,https://windowzonedfw.com/,windowzonedfw.com,Farmers Branch,TX,+1 469-557-6333,"2309 Springlake Rd #630, Farmers Branch, TX 75234, United States",4.9,40,Yes,"Custom-manufactured replacement windows (double-hung, casement etc.) installed by certified crews",Residential,False,Replacement window company,high,"windowzonedfw.com/window-replacement/ 'Window Replacement in Dallas-Fort Worth' and /window-installation/; 'every window made to order, sized precisely for your home, and installed by certified professionals'",,Window
YES,web-searched,WindowCraft Inc,https://www.windowcraft.biz/,windowcraft.biz,Dallas,TX,+1 214-358-7110,"4412 W Lovers Ln, Dallas, TX 75209, United States",4.5,10,Yes,"Custom wood, metal and vinyl windows and doors for new construction or replacement (Loewen dealer)",Residential,False,Windows and doors dealer/installer with Dallas showroom,high,"loewen.com dealer page 'WindowCraft, Inc. - Dallas Showroom, 4412 W. Lovers Lane'; BBB category 'Window Installation'; 'wide variety of windows and doors for new homes or replacements'",,Window
YES,web-searched,"WindowCraft, Inc.",https://windowcraftinc.com/,windowcraftinc.com,Gainesville,TX,+1 940-726-5008,"6441 I-35 Frontage Rd, Gainesville, TX 76240, United States",3.5,8,No,Sale and installation of windows and doors for new construction and remodeling - Gainesville showroom of the same company as ID 136,Residential,False,Windows and doors dealer/installer,high,"BBB Gainesville profile, category 'Window Installation' - 'offers the sale of windows and doors to residential builders and homeowners in both the new construction and remodeling markets'; 'two showrooms, located in Dallas and Gainesville'",,Window
YES,web-searched,Windowmere Windows and Doors,https://windormere-windows-doors.com/,windormere-windows-doors.com,Rockwall,TX,+1 214-695-1335,"202 N West St A, Rockwall, TX 75087, United States",5.0,57,Yes,New window installation and premium vinyl window replacement; exterior door installation/replacement,Residential,False,Window and door replacement company,high,"wmetx.com 'Window Replacement Rockwall TX' and /blog-1/f/window-installation-in-rockwall-tx-replacing-old-aluminum; Angi/HomeAdvisor services: '3-5 New Window Installation, 6+ Room New Window Service, Doors (Exterior) Installation and Replacement'",,Window
NO,web-searched,Windows by Will,https://www.windowsbywill.com/,windowsbywill.com,,,+1 214-926-7474,,5.0,,Yes,,,False,Residential window cleaning,high,"Yelp category 'Window Washing' for windowsbywill.com - 'a residential window cleaning company established in 2013... they hand wash every window, dry and buff them clean'; Google review describes a window cleaning service",,Window
NO,web-searched,Windows Heaven,http://windowsheaven.net/,windowsheaven.net,,,+1 972-332-1133,,5.0,292,Yes,,,False,"Window cleaning, gutter cleaning and pressure washing",high,"windowsheaven.net/service/window-cleaning/ and /about-us/ - 'a premier cleaning service provider based in Dallas, specializing in window cleaning, gutter cleaning, and pressure washing'",,Window
YES,web-searched,Windows of Texas,http://www.windowsoftexas.com/,windowsoftexas.com,,,+1 214-493-0072,,1.0,,Yes,New and replacement windows and doors for DFW homes; window installation and repair via partner suppliers/installers,Residential,False,Replacement window & door contractor,high,Site pages 'Residential Windows' (windowsoftexas.com/services/residential-windows/) and 'Window and Door Replacement FAQs'; 'offers new & replacement windows and doors for homes in the Dallas-Fort Worth area',,Window
YES,web-searched,WinPro Doors and Windows LLC,https://winprodoorsandwindows.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,winprodoorsandwindows.com,,,+1 945-294-6776,,5.0,20,Yes,"Full-service window replacement and installation (Pella and other brands), plus doors",Residential,False,Window & door installation contractor,high,Page title 'Window Replacement - WinPro Doors & Windows' (winprodoorsandwindows.com/window-replacement/); 'Fort Worth's full-service window installation specialist',,Window
YES,web-searched,Woodruff Windows,https://woodruffwindows.com/location/garland-texas/,woodruffwindows.com,Dallas,TX,+1 214-390-9426,"9330 Lyndon B Johnson Fwy #900, Dallas, TX 75243, United States",5.0,4,Yes,"Custom-built replacement windows and doors, in-house install crews; Garland/DFW",Residential,False,Replacement window & door company,high,"Page title 'Window & Door Replacement McKinney TX' (woodruffwindows.com/) and 'Garland, Texas - New Woodruff Window'; 'window & door installation in Garland, TX... replaced over 10,000 windows'",,Window
YES,web-searched,"Wow Windows & Glass, LLC",http://www.wowwindowsglass.com/,wowwindowsglass.com,Carrollton,TX,+1 469-892-6662,"1201 Walnut Ave #6, Carrollton, TX 75006, United States",5.0,488,,"Vinyl replacement windows, broken/foggy glass repair, glass replacement, screens, shower enclosures",Residential,False,Window & glass company (window installation and repair),high,"Site title 'Wow Windows and Glass - Window Installation and Repair - DFW Metroplex' (wowwindowsglass.com); 'specialties include vinyl replacement windows, broken or foggy glass repair'",,Window
YES,web-searched,Wyndoorco,https://wyndoorco.com/,wyndoorco.com,Dallas,TX,+1 972-922-3578,"3626 N Hall St Ste 610, Dallas, TX 75219, United States",5.0,18,Yes,"New and retrofit window installation (remove/replace), doors, moving glass walls",Both,False,Window & door installation contractor,high,Page titles 'WYNDOORCO New and Replacement Windows and Doors' and 'WYNDOORCO New & Retrofit Windows & Doors'; 'window and door retrofit installation (remove/replace) for residential and commercial',,Window
